clothing_name,situation,color,gender,time,price
T-shirt_193_Yellow,Casual,Yellow,female,morning,3055
Pants_567_Black,Outdoor,Black,male,evening,9481
Shirt_784_Blue,Party,Blue,unisex,noon,3261
T-shirt_409_Pink,Wedding,Pink,female,noon,4265
T-shirt_496_Pink,Outdoor,Pink,unisex,morning,2668
Blouse_408_Yellow,Formal,Yellow,unisex,night,8339
Jeans_610_Black,Formal,Black,male,noon,3171
Shirt_833_Purple,Outdoor,Purple,female,night,8211
Jacket_541_Purple,Work,Purple,unisex,morning,4216
Jacket_176_Blue,Party,Blue,female,morning,8236
Jacket_668_Pink,Formal,Pink,female,morning,2145
Shirt_27_Black,Party,Black,female,morning,9469
Pants_48_Pink,Outdoor,Pink,female,night,4013
Shirt_744_Blue,Outdoor,Blue,male,morning,5972
Jeans_22_Pink,Formal,Pink,unisex,night,8872
Shirt_700_Black,Wedding,Black,male,morning,8175
Dress_669_Green,Outdoor,Green,male,morning,7706
T-shirt_337_Yellow,Formal,Yellow,unisex,night,1098
Shirt_82_Green,Wedding,Green,unisex,morning,7548
Jacket_660_Blue,Wedding,Blue,female,morning,8713
Shirt_916_White,Outdoor,White,female,morning,3184
Jeans_334_White,Party,White,male,evening,4328
Pants_675_Black,Wedding,Black,female,morning,5356
Jeans_112_Black,Casual,Black,unisex,night,7074
Dress_933_Yellow,Formal,Yellow,male,noon,3233
Blouse_845_Blue,Formal,Blue,female,evening,6180
T-shirt_276_Red,Casual,Red,female,noon,5427
Shirt_537_Green,Casual,Green,female,night,4240
Dress_525_Blue,Outdoor,Blue,unisex,evening,2840
Skirt_993_Red,Formal,Red,female,noon,4400
T-shirt_212_Green,Casual,Green,unisex,night,9411
Dress_175_Yellow,Formal,Yellow,unisex,evening,6024
Jacket_444_Black,Work,Black,male,evening,8669
Blouse_867_Red,Wedding,Red,male,night,6492
Skirt_4_Black,Outdoor,Black,male,night,2103
Skirt_954_Black,Formal,Black,unisex,morning,8583
Shirt_676_White,Work,White,unisex,noon,4158
T-shirt_604_White,Party,White,male,evening,9323
Skirt_158_Black,Formal,Black,female,noon,2745
Jacket_249_Black,Formal,Black,female,noon,1039
Skirt_971_Black,Party,Black,unisex,noon,9239
Jeans_833_Pink,Wedding,Pink,female,morning,7950
Skirt_46_Purple,Casual,Purple,female,night,1447
Shirt_64_Red,Party,Red,unisex,night,8678
T-shirt_62_Red,Casual,Red,unisex,night,7816
Dress_574_Black,Casual,Black,male,noon,9386
Shirt_703_Blue,Casual,Blue,male,noon,9633
Jeans_980_Blue,Wedding,Blue,female,noon,6305
Jeans_910_Pink,Work,Pink,male,night,6928
Shirt_138_Green,Wedding,Green,female,evening,1960
T-shirt_794_Yellow,Casual,Yellow,unisex,morning,7860
Pants_267_Black,Work,Black,male,noon,6728
T-shirt_13_Yellow,Casual,Yellow,unisex,evening,6716
Blouse_506_Black,Party,Black,female,night,5120
Skirt_915_Pink,Wedding,Pink,female,night,9471
Jacket_488_Red,Outdoor,Red,unisex,noon,2368
Jeans_708_Blue,Outdoor,Blue,male,noon,3653
Shirt_612_Blue,Wedding,Blue,unisex,night,9964
Jacket_153_Black,Formal,Black,unisex,evening,1421
Jeans_28_Red,Casual,Red,unisex,morning,2100
T-shirt_722_Pink,Casual,Pink,male,noon,7731
Jacket_411_Yellow,Casual,Yellow,unisex,evening,7867
Blouse_769_Black,Formal,Black,male,night,2448
Skirt_933_Blue,Wedding,Blue,male,noon,4381
T-shirt_68_Blue,Wedding,Blue,male,night,5034
Jacket_574_Green,Work,Green,male,noon,6315
Blouse_769_Green,Formal,Green,unisex,night,1399
Jeans_903_Green,Casual,Green,unisex,noon,6094
T-shirt_704_Yellow,Formal,Yellow,male,noon,1374
Skirt_97_Yellow,Party,Yellow,male,morning,8983
T-shirt_798_Red,Party,Red,male,morning,4374
Pants_696_Purple,Work,Purple,male,evening,2108
T-shirt_799_Purple,Outdoor,Purple,female,noon,1683
Pants_653_Green,Work,Green,female,evening,7694
Dress_21_Red,Work,Red,male,night,6064
T-shirt_140_Blue,Wedding,Blue,male,noon,9382
Jacket_983_Pink,Party,Pink,female,morning,5213
T-shirt_691_Blue,Formal,Blue,male,night,7887
Shirt_735_White,Formal,White,male,evening,8611
Blouse_546_Red,Outdoor,Red,male,morning,6635
Pants_690_Green,Work,Green,male,night,6787
Shirt_260_Green,Formal,Green,male,morning,9360
Skirt_887_Green,Wedding,Green,unisex,evening,5956
Jacket_775_Purple,Outdoor,Purple,unisex,night,5020
Skirt_896_Red,Formal,Red,unisex,evening,8492
T-shirt_351_Red,Casual,Red,unisex,morning,1285
Blouse_792_Yellow,Work,Yellow,unisex,evening,8629
Jeans_166_Red,Casual,Red,male,night,9544
Jacket_226_Pink,Wedding,Pink,unisex,evening,3177
Jeans_40_White,Wedding,White,male,night,7036
Pants_904_Yellow,Wedding,Yellow,male,night,1639
Shirt_483_Black,Work,Black,unisex,morning,8686
T-shirt_557_White,Wedding,White,male,morning,5112
Blouse_817_Black,Party,Black,unisex,noon,2298
T-shirt_528_Yellow,Work,Yellow,unisex,noon,8324
Dress_931_Blue,Formal,Blue,male,night,6309
Dress_324_Green,Party,Green,male,night,4729
Jacket_74_Green,Casual,Green,female,evening,6645
Dress_366_Green,Wedding,Green,unisex,evening,6832
Blouse_662_Green,Casual,Green,female,night,4230
Skirt_284_Black,Formal,Black,unisex,night,4693
T-shirt_779_Blue,Work,Blue,unisex,morning,7626
T-shirt_15_White,Work,White,unisex,night,2858
Shirt_844_Blue,Wedding,Blue,unisex,noon,4805
Blouse_581_White,Party,White,female,night,7677
Pants_190_White,Casual,White,female,evening,2563
Blouse_46_Black,Casual,Black,female,morning,1082
Blouse_788_Black,Wedding,Black,female,evening,8351
Dress_379_Yellow,Formal,Yellow,male,morning,4698
Shirt_919_Pink,Wedding,Pink,female,noon,5859
Shirt_283_Pink,Outdoor,Pink,female,noon,2535
Jacket_791_Yellow,Casual,Yellow,female,noon,7619
Jacket_895_Purple,Casual,Purple,unisex,evening,9426
Blouse_636_Pink,Wedding,Pink,male,morning,8502
Dress_596_Blue,Outdoor,Blue,unisex,evening,5211
Jacket_418_White,Wedding,White,unisex,evening,1237
Dress_419_Yellow,Outdoor,Yellow,female,morning,2842
Shirt_301_Purple,Party,Purple,female,noon,5559
Jeans_230_Black,Casual,Black,female,morning,3338
Dress_666_Black,Party,Black,unisex,night,5835
Jeans_62_Green,Outdoor,Green,female,night,2600
Jeans_258_Blue,Party,Blue,male,evening,5338
Dress_14_Pink,Wedding,Pink,female,morning,8347
Jeans_945_Purple,Work,Purple,unisex,night,1807
Dress_747_Pink,Casual,Pink,male,night,9951
T-shirt_234_Red,Formal,Red,unisex,noon,1056
Shirt_779_Black,Work,Black,male,evening,1503
Jacket_101_Green,Outdoor,Green,unisex,evening,3470
Pants_756_Black,Outdoor,Black,male,evening,4675
Shirt_250_Black,Casual,Black,male,evening,2698
T-shirt_840_Red,Party,Red,unisex,morning,4421
T-shirt_672_Blue,Casual,Blue,unisex,night,1865
T-shirt_241_Green,Work,Green,unisex,night,7547
Shirt_380_Yellow,Work,Yellow,unisex,morning,9442
Shirt_148_Black,Work,Black,male,noon,3014
Jacket_892_White,Work,White,female,morning,8047
Shirt_672_Yellow,Formal,Yellow,male,evening,8669
Pants_357_Purple,Wedding,Purple,unisex,noon,8064
Shirt_339_Green,Outdoor,Green,unisex,noon,2897
Shirt_242_Pink,Casual,Pink,male,night,4456
Dress_62_Yellow,Formal,Yellow,male,night,3155
Dress_656_Black,Outdoor,Black,female,morning,2420
Jeans_416_Purple,Formal,Purple,male,night,5246
Dress_942_Black,Wedding,Black,female,morning,5663
T-shirt_630_Pink,Party,Pink,male,night,1401
T-shirt_44_Red,Outdoor,Red,male,night,4971
Shirt_799_Yellow,Casual,Yellow,male,night,2784
Skirt_936_Pink,Casual,Pink,unisex,evening,1191
T-shirt_794_Yellow,Wedding,Yellow,female,night,6615
Skirt_212_Blue,Casual,Blue,unisex,evening,4405
Shirt_807_Purple,Casual,Purple,unisex,night,5558
Skirt_77_Black,Work,Black,female,evening,4485
Skirt_375_White,Outdoor,White,male,evening,6146
Skirt_646_Purple,Party,Purple,unisex,night,5061
Blouse_449_Yellow,Party,Yellow,female,night,2705
Blouse_390_Green,Outdoor,Green,male,evening,7971
T-shirt_437_Black,Wedding,Black,male,noon,9069
Blouse_243_Yellow,Outdoor,Yellow,female,evening,8137
T-shirt_296_Purple,Party,Purple,female,morning,8426
Blouse_133_Green,Formal,Green,unisex,night,4331
Jeans_991_Black,Casual,Black,unisex,noon,1317
Blouse_317_Blue,Formal,Blue,female,evening,2147
Pants_611_Green,Formal,Green,male,night,9827
Blouse_877_Green,Outdoor,Green,unisex,evening,4668
Shirt_437_Pink,Outdoor,Pink,unisex,evening,4952
Blouse_565_Green,Outdoor,Green,unisex,night,3150
Shirt_836_Blue,Work,Blue,unisex,noon,4796
T-shirt_444_Blue,Party,Blue,male,evening,6446
Blouse_417_Pink,Outdoor,Pink,female,evening,1300
Pants_384_Purple,Outdoor,Purple,male,night,4801
Jeans_121_Yellow,Casual,Yellow,female,evening,7682
Pants_972_Black,Party,Black,unisex,morning,6815
Blouse_981_Pink,Party,Pink,unisex,evening,5987
Jacket_647_Purple,Work,Purple,unisex,night,5683
Pants_129_Green,Work,Green,male,noon,9760
Jacket_102_Blue,Casual,Blue,unisex,evening,2595
Pants_183_White,Casual,White,unisex,noon,2953
Jacket_335_Green,Party,Green,unisex,noon,6242
Skirt_741_Pink,Formal,Pink,unisex,noon,1435
Dress_506_Red,Formal,Red,female,noon,1182
Blouse_722_White,Formal,White,male,noon,8025
Blouse_791_Purple,Work,Purple,male,noon,5103
Jacket_395_Green,Formal,Green,female,morning,4831
Dress_196_Pink,Wedding,Pink,female,night,6048
Skirt_611_Pink,Wedding,Pink,male,noon,9539
Dress_275_Blue,Outdoor,Blue,female,morning,6221
Jeans_101_Green,Wedding,Green,unisex,noon,2080
Blouse_260_Red,Outdoor,Red,male,noon,9292
Dress_509_White,Formal,White,female,night,5962
Pants_763_Purple,Work,Purple,female,noon,6303
Blouse_600_Purple,Party,Purple,unisex,night,2968
Jeans_403_Blue,Outdoor,Blue,female,night,5409
T-shirt_580_Red,Wedding,Red,male,evening,9108
Jacket_274_Pink,Wedding,Pink,male,night,8302
Pants_57_Black,Work,Black,male,noon,9037
Jeans_582_Blue,Party,Blue,unisex,noon,7689
Dress_45_Red,Party,Red,unisex,night,9863
Pants_549_Black,Casual,Black,unisex,noon,1679
Dress_500_Black,Formal,Black,unisex,noon,4338
Dress_270_White,Party,White,male,evening,5695
Jacket_74_Green,Work,Green,female,evening,9379
Pants_812_Pink,Casual,Pink,male,night,1461
Jacket_955_Black,Work,Black,male,noon,9619
Pants_673_Yellow,Wedding,Yellow,female,morning,2116
Pants_611_Yellow,Party,Yellow,male,morning,3068
T-shirt_243_Purple,Casual,Purple,female,evening,2352
Pants_299_Pink,Work,Pink,unisex,night,6824
Jeans_44_White,Party,White,male,evening,3259
Jeans_621_Pink,Party,Pink,unisex,night,8016
Dress_101_Black,Wedding,Black,unisex,evening,8732
Jacket_883_Black,Work,Black,female,night,8142
Jeans_349_Black,Formal,Black,male,evening,1975
Skirt_807_Pink,Casual,Pink,male,noon,9594
Jeans_273_Purple,Outdoor,Purple,female,noon,7041
Jeans_736_Purple,Wedding,Purple,unisex,evening,5658
Pants_87_Green,Outdoor,Green,female,night,2423
T-shirt_156_Black,Outdoor,Black,unisex,noon,7408
Skirt_493_Black,Wedding,Black,female,evening,5129
Jacket_77_Green,Party,Green,female,night,5165
Shirt_711_Blue,Wedding,Blue,unisex,morning,9356
Jacket_978_White,Outdoor,White,male,night,9059
Pants_997_Black,Party,Black,male,evening,2751
Dress_85_Yellow,Casual,Yellow,female,evening,2093
Shirt_750_Pink,Formal,Pink,male,night,6683
Jacket_428_White,Casual,White,male,evening,1131
Dress_768_Pink,Work,Pink,male,morning,7744
Skirt_253_Pink,Outdoor,Pink,female,evening,2001
Skirt_381_Green,Outdoor,Green,female,night,5567
Pants_22_Green,Wedding,Green,unisex,noon,3438
Skirt_139_Pink,Work,Pink,unisex,noon,2392
Pants_535_Black,Work,Black,unisex,morning,3503
T-shirt_870_Green,Outdoor,Green,female,morning,3503
Shirt_533_Red,Formal,Red,male,morning,6824
T-shirt_594_White,Work,White,male,night,3829
Shirt_156_Blue,Party,Blue,female,night,8863
Pants_243_Red,Formal,Red,female,night,1484
T-shirt_444_Yellow,Outdoor,Yellow,unisex,night,9403
Shirt_874_White,Party,White,unisex,noon,9706
Blouse_820_Red,Formal,Red,unisex,morning,6136
Dress_277_Green,Party,Green,male,morning,2478
T-shirt_339_Black,Work,Black,unisex,evening,7865
Jeans_869_Black,Wedding,Black,male,morning,3945
Blouse_789_Blue,Party,Blue,female,evening,5836
T-shirt_757_Pink,Wedding,Pink,female,morning,4470
Jeans_508_Green,Work,Green,female,night,4697
Shirt_763_Red,Outdoor,Red,male,evening,5543
Jeans_31_White,Casual,White,male,evening,8081
T-shirt_348_Black,Wedding,Black,female,night,1402
Dress_451_Purple,Formal,Purple,male,noon,6801
Dress_455_Red,Party,Red,female,noon,4483
Jacket_399_Purple,Wedding,Purple,unisex,noon,9006
Blouse_311_Black,Casual,Black,male,noon,2868
Skirt_754_Purple,Casual,Purple,female,evening,5673
Skirt_199_Black,Formal,Black,female,night,8760
Skirt_621_White,Party,White,female,evening,1201
Shirt_72_Green,Formal,Green,unisex,morning,2975
T-shirt_257_Pink,Casual,Pink,female,noon,5257
Dress_701_Blue,Wedding,Blue,male,evening,3385
Jacket_262_Purple,Work,Purple,female,morning,7539
Shirt_860_White,Party,White,unisex,noon,4688
Pants_672_Blue,Work,Blue,unisex,morning,6216
Pants_874_Blue,Outdoor,Blue,female,noon,6894
Pants_874_Yellow,Formal,Yellow,unisex,morning,6112
Blouse_286_Blue,Work,Blue,male,night,7685
Jeans_232_Yellow,Outdoor,Yellow,unisex,noon,7543
Pants_371_Red,Wedding,Red,male,noon,3340
Skirt_233_Purple,Wedding,Purple,female,morning,9644
Skirt_919_Green,Wedding,Green,female,evening,4824
Dress_968_Yellow,Formal,Yellow,unisex,evening,3384
Jacket_645_Blue,Formal,Blue,unisex,night,7251
Skirt_576_Red,Work,Red,male,morning,2104
Jacket_208_White,Outdoor,White,female,noon,5805
Skirt_72_Black,Party,Black,female,night,9899
Dress_559_Purple,Work,Purple,unisex,noon,9322
T-shirt_986_Red,Wedding,Red,unisex,morning,7266
Jacket_680_Blue,Casual,Blue,male,night,6206
Blouse_607_Yellow,Formal,Yellow,male,night,4271
Blouse_461_Green,Formal,Green,unisex,morning,3168
Dress_541_Red,Casual,Red,male,evening,8878
Skirt_194_Blue,Casual,Blue,male,morning,2218
Jacket_159_White,Casual,White,female,evening,3193
Skirt_126_Black,Work,Black,female,morning,2771
Shirt_179_Black,Formal,Black,male,night,6288
Blouse_30_Blue,Outdoor,Blue,female,morning,7185
Dress_254_Green,Wedding,Green,female,morning,5299
Blouse_364_Yellow,Outdoor,Yellow,unisex,noon,8260
Dress_854_Blue,Outdoor,Blue,male,noon,2502
Jeans_866_Red,Casual,Red,unisex,noon,6741
Pants_307_Yellow,Work,Yellow,male,noon,6335
T-shirt_271_Red,Wedding,Red,male,morning,6803
Shirt_621_Yellow,Party,Yellow,unisex,morning,2008
Pants_179_Purple,Formal,Purple,female,morning,4966
Shirt_793_Yellow,Wedding,Yellow,male,noon,3891
Shirt_331_White,Formal,White,male,evening,6971
Jeans_582_Yellow,Wedding,Yellow,male,evening,3625
Shirt_356_Yellow,Work,Yellow,male,morning,4648
Dress_801_Black,Formal,Black,male,morning,5066
Dress_245_Pink,Casual,Pink,unisex,night,3723
Pants_344_Pink,Work,Pink,unisex,morning,4732
Blouse_383_Red,Casual,Red,female,evening,8715
Jeans_858_Purple,Casual,Purple,unisex,night,6596
Shirt_608_Purple,Casual,Purple,female,evening,4019
Jacket_774_Green,Casual,Green,male,evening,7072
Blouse_697_Red,Work,Red,female,night,3181
Skirt_482_Red,Casual,Red,female,evening,7801
Blouse_593_Red,Casual,Red,female,evening,3508
Shirt_154_Black,Party,Black,male,noon,8834
Shirt_539_Black,Work,Black,female,noon,8692
Skirt_517_Purple,Outdoor,Purple,female,night,4276
Skirt_436_Red,Formal,Red,male,evening,6976
Shirt_260_Green,Casual,Green,female,morning,6178
Jacket_2_Green,Work,Green,female,night,6089
Jacket_594_Blue,Casual,Blue,male,night,3620
Shirt_971_Blue,Work,Blue,female,noon,5288
Shirt_743_Red,Work,Red,female,noon,7129
Jeans_218_Black,Work,Black,female,evening,7764
Shirt_468_Blue,Wedding,Blue,unisex,morning,5594
Pants_643_Purple,Work,Purple,female,evening,4639
Pants_815_Red,Outdoor,Red,male,evening,4185
Pants_292_White,Outdoor,White,unisex,night,2682
Blouse_916_White,Formal,White,female,night,1699
Skirt_375_White,Work,White,unisex,morning,1529
Pants_524_Black,Formal,Black,male,morning,5038
Pants_443_Purple,Outdoor,Purple,unisex,night,2737
Shirt_672_Red,Party,Red,unisex,evening,2324
Skirt_477_Black,Formal,Black,female,evening,4289
Pants_136_Black,Work,Black,female,evening,9238
Blouse_420_Purple,Work,Purple,female,morning,1399
T-shirt_478_Pink,Work,Pink,male,noon,5498
Dress_886_Pink,Outdoor,Pink,female,noon,6029
Jacket_497_Pink,Formal,Pink,male,noon,7132
T-shirt_694_Blue,Outdoor,Blue,male,evening,3880
Jacket_47_Black,Wedding,Black,male,morning,3882
Jeans_819_Red,Party,Red,unisex,morning,3023
Jacket_849_Yellow,Wedding,Yellow,male,morning,7169
Dress_381_Green,Casual,Green,male,morning,5510
Jacket_379_Blue,Party,Blue,female,morning,1250
Shirt_147_Yellow,Formal,Yellow,female,noon,3908
Blouse_262_Yellow,Wedding,Yellow,unisex,noon,3619
Dress_555_White,Work,White,female,morning,5929
T-shirt_327_White,Work,White,female,noon,5855
Jeans_523_Purple,Wedding,Purple,male,morning,6202
Skirt_770_Red,Wedding,Red,unisex,noon,2234
Shirt_465_White,Party,White,female,morning,2612
Shirt_322_Purple,Outdoor,Purple,female,morning,8332
Pants_394_Green,Outdoor,Green,female,night,3804
Pants_210_Green,Wedding,Green,female,night,3133
Skirt_451_Green,Outdoor,Green,female,evening,3767
Blouse_423_Black,Outdoor,Black,female,morning,9264
Jeans_300_White,Outdoor,White,unisex,noon,8396
Blouse_967_Red,Outdoor,Red,female,evening,3395
Jeans_161_Green,Outdoor,Green,male,morning,3954
Skirt_651_Black,Outdoor,Black,unisex,morning,8717
T-shirt_847_Blue,Party,Blue,unisex,morning,8480
T-shirt_978_Green,Wedding,Green,male,morning,9463
Skirt_381_Red,Formal,Red,female,noon,9047
T-shirt_885_Yellow,Outdoor,Yellow,female,morning,9381
Jacket_681_Blue,Formal,Blue,female,evening,4235
Blouse_139_White,Casual,White,male,noon,6040
Skirt_448_Pink,Wedding,Pink,female,evening,3942
T-shirt_392_Red,Outdoor,Red,female,night,3717
Blouse_678_Purple,Wedding,Purple,unisex,noon,2584
Skirt_433_Purple,Casual,Purple,male,night,2017
Skirt_591_Blue,Wedding,Blue,female,morning,3994
T-shirt_763_Black,Party,Black,male,morning,2825
Shirt_503_Blue,Party,Blue,female,noon,4288
Shirt_529_White,Wedding,White,male,night,7549
Skirt_136_Blue,Party,Blue,female,evening,6898
Jeans_10_Pink,Formal,Pink,unisex,night,9862
Dress_191_Green,Wedding,Green,male,morning,4948
Blouse_121_Purple,Outdoor,Purple,female,noon,6981
Pants_156_Pink,Formal,Pink,female,morning,9440
Dress_376_Purple,Outdoor,Purple,unisex,night,1940
Skirt_539_Purple,Work,Purple,female,evening,6156
Blouse_5_Yellow,Casual,Yellow,unisex,morning,1288
Jacket_809_Black,Wedding,Black,female,morning,6872
Shirt_273_Black,Casual,Black,unisex,night,8460
Jacket_928_Black,Wedding,Black,female,noon,5509
Pants_661_Red,Party,Red,female,morning,7193
Jacket_469_Red,Party,Red,unisex,evening,8111
Skirt_561_Purple,Casual,Purple,male,night,6460
Blouse_307_Pink,Casual,Pink,unisex,noon,1916
Dress_794_White,Party,White,unisex,evening,6801
Skirt_754_Red,Outdoor,Red,unisex,noon,4251
Pants_278_Green,Casual,Green,male,evening,3484
T-shirt_651_Black,Formal,Black,female,evening,6636
Pants_647_Yellow,Party,Yellow,female,noon,7359
Jeans_638_Green,Formal,Green,male,noon,9272
Skirt_930_Pink,Wedding,Pink,female,noon,1792
Pants_6_Red,Casual,Red,male,evening,3119
Pants_366_Purple,Formal,Purple,female,evening,7929
Jacket_650_Purple,Work,Purple,female,night,5228
Shirt_786_White,Work,White,female,night,6942
T-shirt_708_Black,Party,Black,male,morning,1844
Pants_665_Pink,Casual,Pink,female,morning,2642
Dress_605_Green,Formal,Green,female,night,5815
Jeans_338_White,Wedding,White,male,night,4570
Shirt_146_Green,Wedding,Green,female,night,2755
Jacket_648_Yellow,Party,Yellow,female,morning,7574
Jeans_956_Yellow,Wedding,Yellow,male,morning,1865
Skirt_611_Red,Formal,Red,unisex,evening,4036
T-shirt_373_Pink,Wedding,Pink,female,morning,8170
Pants_708_Yellow,Formal,Yellow,male,noon,8485
Jeans_519_Blue,Work,Blue,male,night,3472
Blouse_369_Red,Outdoor,Red,male,noon,6172
Blouse_409_Purple,Formal,Purple,unisex,night,4384
Jacket_527_Pink,Casual,Pink,male,morning,6114
Skirt_281_Purple,Outdoor,Purple,female,noon,5401
T-shirt_688_Purple,Party,Purple,male,evening,5647
Blouse_396_White,Wedding,White,unisex,morning,4299
Shirt_798_Green,Casual,Green,male,evening,1186
Blouse_792_Purple,Wedding,Purple,female,evening,1009
T-shirt_898_Green,Wedding,Green,male,morning,9291
Shirt_825_Pink,Work,Pink,female,night,8585
